FileName,SegmentText,Start,End
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_42_black base.mp4,black base,110.63,114.83
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_43_coat folks.mp4,coat folks,112.58,118.31
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_44_parts sprayed.mp4,parts sprayed,114.83,120.47
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_45_inside pieces trim.mp4,inside pieces trim,118.31,123.8
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_46_black gives satin black.mp4,black gives satin black,120.47,125.54
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_47_finish nice quick.mp4,finish nice quick,123.8,127.7
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_48_cleans paint.mp4,cleans paint,125.54,130.0
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_49_gloss black outside.mp4,gloss black outside,127.7,131.84
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_50_visible.mp4,visible,130.0,132.62
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_51_under.mp4,under,131.84,134.45
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_52_acceptable grab camera.mp4,acceptable grab camera,132.62,136.06
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_53_what's.mp4,what's,134.45,138.53
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_54_connell.mp4,connell,136.06,140.29
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_55_inside fender.mp4,inside fender,138.53,143.93
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_56_spread seam.mp4,spread seam,140.29,145.97
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_57_sealer welding.mp4,sealer welding,143.93,147.12
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_58_cleans air.mp4,cleans air,145.97,149.48
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_59_fender.mp4,fender,147.12,151.11
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_60_blacked inside.mp4,blacked inside,149.48,153.48
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_61_dry pretty good prep.mp4,dry pretty good prep,153.48,159.59
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_62_garage get get ready.mp4,garage get get ready,155.67000000000004,161.57999999999996
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_63_items paint.mp4,items paint,159.59,165.15
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_64_fixtures stands get.mp4,fixtures stands get,161.57999999999996,165.66
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_65_painted.mp4,painted,165.15,167.91
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_66_set come.mp4,set come,165.66,170.16
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_67_go paint process.mp4,go paint process,167.91,171.62
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_68_get base coat.mp4,get base coat,170.16,174.98
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_69_got.mp4,got,171.62,177.93
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_70_garage blown.mp4,garage blown,174.98,179.73
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_71_wet floor edges.mp4,wet floor edges,177.93,181.11
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_72_walls nooks crannies.mp4,walls nooks crannies,179.73,183.54
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_73_hose seal dust.mp4,hose seal dust,181.11,186.56
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_74_took bench covered.mp4,took bench covered,183.54,188.43
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_75_masking paper fixtures.mp4,masking paper fixtures,186.56,189.93
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_76_fenders couple.mp4,fenders couple,188.43,191.26
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_77_masking paper.mp4,masking paper,189.93,193.98
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_78_taken fenders got.mp4,taken fenders got,191.26,195.75
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_79_wall mounted.mp4,wall mounted,193.98,198.29
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_80_minute precaution.mp4,minute precaution,195.75,202.29
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_81_took red scuff pad went quickly.mp4,took red scuff pad went quickly,198.29,204.42
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_82_fenders thing.mp4,fenders thing,202.29,205.68
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_83_compressed air.mp4,compressed air,204.42,206.22
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_84_mate.mp4,mate,205.68,208.59
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_85_air hose blow.mp4,air hose blow,206.22,211.47
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_86_fixture fenders little.mp4,fixture fenders little,208.59,213.03
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_87_nooks crannies make.mp4,nooks crannies make,211.47,215.63
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_88_blow dust.mp4,blow dust,213.03,216.93
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_89_little water.mp4,little water,215.63,218.04
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_90_what's.mp4,what's,216.93,219.56
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_91_anthon things nature.mp4,anthon things nature,218.04,222.54
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_92_get squared away.mp4,get squared away,219.56,225.9
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_93_wash pretty cleaner.mp4,wash pretty cleaner,222.54,227.66
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_94_point pretty ready.mp4,point pretty ready,225.9,230.48
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_95_go get gun set pink ball.mp4,go get gun set pink ball,227.66,232.16
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_96_set base.mp4,set base,230.48,233.73
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_97_tape folks get blowing.mp4,tape folks get blowing,232.16,236.43
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_98_washed pre cleanup.mp4,washed pre cleanup,233.73,238.79
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_99_looked good good.mp4,looked good good,236.43,242.43
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_100_go got garage set.mp4,go got garage set,238.79,243.93
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_101_closed lights.mp4,closed lights,242.43,246.32
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_102_turn exhaust fan got gun.mp4,turn exhaust fan got gun,243.93,248.25
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_103_set got face coat.mp4,set got face coat,246.32,250.07
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_104_little close.mp4,little close,248.25,252.35
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_105_got.mp4,got,250.07,254.43
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_106_here's tank got set.mp4,here's tank got set,252.35,257.45
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_107_jig past.mp4,jig past,254.43,259.56
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_108_works good.mp4,works good,257.45,262.65
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_109_2x4 attach.mp4,2x4 attach,259.56,264.63
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_110_screws end sit.mp4,screws end sit,262.65,266.37
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_111_end.mp4,end,264.63,270.38
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_112_tank.mp4,tank,266.37,272.52
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_113_flip get.mp4,flip get,270.38,274.47
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_114_good.mp4,good,272.52,276.45
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_115_flip.mp4,flip,274.47,279.68
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_116_seesaws forth got.mp4,seesaws forth got,279.68,286.49
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_117_set got fender.mp4,set got fender,282.71,289.61
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_118_jig got.mp4,jig got,286.49,294.08
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_119_fender jig got.mp4,fender jig got,289.61,296.81
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_120_spray gun got base coat.mp4,spray gun got base coat,294.08,298.67
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_121_mixed base coat uh.mp4,mixed base coat uh,296.81,301.61
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_122_sherwin williams dimension mixin.mp4,sherwin williams dimension mixin,298.67,303.89
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_123_mixing ratio parts base.mp4,mixing ratio parts base,301.61,306.11
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_124_reducer.mp4,reducer,303.89,311.36
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_125_medium coats.mp4,medium coats,306.11,315.74
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_126_surface tap.mp4,surface tap,311.36,320.45
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_127_pieces get fan gun.mp4,pieces get fan gun,315.74,324.08
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_128_get paint strained into gun.mp4,get paint strained into gun,320.45,326.75
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_129_coat base.mp4,coat base,324.08,332.12
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_130_idea cope.mp4,idea cope,326.75,336.65
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_131_cover piece color.mp4,cover piece color,332.12,338.87
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_132_coat got.mp4,coat got,336.65,340.28
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_133_able.mp4,able,338.87,343.31
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_134_panic.mp4,panic,340.28,345.62
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_135_flash depending.mp4,flash depending,343.31,347.12
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_136_environment mean worried.mp4,environment mean worried,345.62,348.95
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_137_seventy eighty degrees.mp4,seventy eighty degrees,347.12,352.52
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_138_pretty perfect flash.mp4,pretty perfect flash,348.95,355.13
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_139_minutes.mp4,minutes,352.52,357.32
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_140_notice little matte flat.mp4,notice little matte flat,355.13,359.78
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_141_finish get.mp4,finish get,357.32,361.28
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_142_eye finish cup.mp4,eye finish cup,359.78,363.74
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_143_finished.mp4,finished,361.28,367.25
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_144_application wait 10 15 minutes.mp4,application wait 10 15 minutes,363.74,369.68
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_145_coat coats.mp4,coat coats,367.25,373.43
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_146_covered.mp4,covered,369.68,375.44
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_147_think coat.mp4,think coat,373.43,377.93
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_148_recommend.mp4,recommend,375.44,380.66
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_149_flash go.mp4,flash go,377.93,384.23
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_150_edges sides undersides.mp4,edges sides undersides,380.66,386.81
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_151_make areas.mp4,make areas,384.23,388.86
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_152_paint.mp4,paint,386.81,391.58
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_153_clear.mp4,clear,388.86,393.17
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_154_start process.mp4,start process,391.58,396.17
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_155_minutes.mp4,minutes,393.17,398.27
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_156_check areas covered.mp4,check areas covered,396.17,400.93
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_157_gun dust areas.mp4,gun dust areas,398.27,402.83
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_158_make big difference.mp4,make big difference,400.93,406.01
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_159_happened painter.mp4,happened painter,402.83,407.81
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_160_paint got.mp4,paint got,406.01,408.16
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_161_little.mp4,little,407.81,409.96
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_162_said.mp4,said,408.16,411.71
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_163_didn't hit.mp4,didn't hit,409.96,413.81
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_164_certain angle.mp4,certain angle,411.71,415.06
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_165_sitting paint.mp4,sitting paint,413.81,416.06
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_166_screwed.mp4,screwed,415.06,417.31
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_167_gotta sand thing.mp4,gotta sand thing,416.06,419.18
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_168_paint get caught.mp4,paint get caught,417.31,421.66
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_169_make check edges.mp4,make check edges,419.18,424.18
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_170_apply base coat.mp4,apply base coat,421.66,426.31
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_171_come talk.mp4,come talk,424.18,429.15
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_172_clear coat.mp4,clear coat,426.31,429.15
